country,city,property_type,bedrooms,furnished,amenities_count,amenities_list,included_bills,included_bills_total,price,area_average_rent,deposit_amount,landlord_verified,reputation_score,nationality_mismatch,min_stay_months,thumbs_up_count,thumbs_down_count,average_review_rating,rental_description,reviews,is_scam,label
Hong Kong,Hong Kong Island,flat,1,0,8,"Balcony, Dishwasher, Garden, Gym, Laundry Room, Parking, Pool, Washing Machine","Electricity, TV Licence, Water, WiFi",113,2875,2500,199,0,37,TRUE,6,7,10,3,"Spacious flat, all bills included, furnished, HALF PRICE for the right tenant. No viewings first.",Seems too good to be true. Price is nowhere near the area average.,1,Scam
Hong Kong,Kowloon,flat,3,1,4,"Bike Storage, Pool, Washing Machine, WiFi","Electricity, Laundry Room, Water, WiFi",115,2565,2565,4744,0,60,TRUE,12,6,1,5,Attractive ground-floor flat with patio doors opening to communal garden. No pets.,Very responsive landlord. Any small issues were fixed within days.,0,Not Scam
Hong Kong,Outlying Islands,flat,1,0,3,"CCTV/Security, Gym, Parking",Parking,80,1925,1925,1089,1,67,TRUE,3,43,4,3,Well-located flat above shops with excellent transport connections to city centre.,Smooth handover and honest deposit return. Would rent here again.,0,Not Scam
Hong Kong,New Territories,studio,0,1,9,"Balcony, Bike Storage, CCTV/Security, Concierge, Dishwasher, Garden, Pool, Washing Machine, WiFi",,0,1520,1520,524,0,18,FALSE,1,4,22,1,Do not miss this deal! Owner cannot show property due to health issues. Bank transfer secures property.,Asked for payment via Western Union which is a major red flag.,1,Scam
Hong Kong,Hong Kong Island,house,3,0,7,"Bike Storage, CCTV/Security, Garden, Gym, Laundry Room, Parking, Pool","Council Tax, Gas/Heating, Laundry Room, Parking",260,4360,5014,261,0,40,FALSE,3,1,8,3,This property is priced extremely low due to landlord emergency. Act fast before it is gone.,Profile created just a few days ago. No history or reviews at all.,1,Scam
Hong Kong,Kowloon,house,2,1,11,"Bike Storage, Concierge, Dishwasher, Garden, Gym, Laundry Room, Lift/Elevator, Parking, Pool, Washing Machine, WiFi","Council Tax, WiFi",145,2357.5,2357.5,588,0,17,FALSE,1,7,22,3,Rental priced at half the going rate. Landlord wants a quick let before flying out next week.,The property photos appear to be copied from an estate agent listing.,1,Scam
Hong Kong,Outlying Islands,flat,1,1,7,"Balcony, CCTV/Security, Dishwasher, Garden, Lift/Elevator, Parking, WiFi","Electricity, Laundry Room, Parking",155,1925,1925,842,1,46,FALSE,3,13,6,4,Spacious property with original wooden floors and bay windows. Must be seen.,"Nice area, well-managed building. Landlord was easy to deal with.",0,Not Scam
Hong Kong,New Territories,house,3,1,6,"Concierge, Garden, Lift/Elevator, Parking, Pool, Washing Machine",,0,3841,3841,4467,1,70,FALSE,6,5,7,4,Modern development with secure underground parking. On-site property management available.,Did not have a single issue during our 18-month tenancy.,0,Not Scam
Hungary,Budapest,flat,1,1,3,"Balcony, Laundry Room, Lift/Elevator",,0,858,858,2016,1,58,FALSE,12,24,0,4,Comfortable 2-bed apartment close to university. Great for professionals or students.,One of the better rental experiences I have had. Landlord is fair.,0,Not Scam
Hungary,Debrecen,studio,0,0,2,"Dishwasher, Pool",,0,574,574.4,268,1,89,FALSE,1,24,6,5,"Quiet flat in a gated development. 24-hour security, CCTV throughout building.",Well priced for the area and what you get. Happy with everything.,0,Not Scam
Hungary,P�cs,flat,1,1,3,"CCTV/Security, Gym, Laundry Room","Council Tax, Gas/Heating, Laundry Room",180,565,565,3720,1,82,FALSE,1,13,7,5,Bright 1-bedroom flat with double glazing and newly fitted kitchen. Close to bus routes and local shops.,Landlord was prompt and professional. No issues during the tenancy.,0,Not Scam
Hungary,Ny�regyh�za,flat,2,1,7,"CCTV/Security, Garden, Gym, Laundry Room, Parking, Pool, WiFi","Council Tax, Gas/Heating, Parking, WiFi",265,683,683,1037,0,50,FALSE,3,35,6,3,"Well-maintained apartment on a quiet residential street. Hardwood floors throughout, good storage.",Property was exactly as described. Would recommend to others.,0,Not Scam
Iceland,Reykjavik,flat,2,0,5,"Balcony, Bike Storage, CCTV/Security, Garden, Pool","Parking, Water",95,3074,3074,325,1,16,TRUE,1,3,14,1,You will not find anything like this at this price in this area. Contact me now.,Landlord claimed to be abroad and could not provide local references.,1,Scam
Iceland,Reykjavik,house,3,1,2,"CCTV/Security, Concierge",,0,3774.3,3774.3,2547,1,92,FALSE,6,7,7,5,Modern open-plan flat in a secure building with entry phone. Walking distance to the city centre.,Good experience overall. Repairs were handled quickly when needed.,0,Not Scam
India,Mumbai,studio,0,0,2,"Balcony, Concierge","Gym, Parking",115,328,328,714,1,76,FALSE,6,26,7,3,Spacious property recently repainted with new bathroom suite. Available for professional tenants.,Communication with landlord was excellent. Very reasonable person.,0,Not Scam
India,Mumbai,studio,0,1,7,"Balcony, CCTV/Security, Dishwasher, Laundry Room, Lift/Elevator, Pool, WiFi",,0,328,328,661,0,30,TRUE,1,9,18,3,Beautiful flat offered cheap because of relationship breakdown. Landlord wants quick let only.,No phone number given. Email only contact is extremely suspicious.,1,Scam
India,Bangalore,flat,3,0,10,"Balcony, Bike Storage, CCTV/Security, Dishwasher, Garden, Gym, Laundry Room, Lift/Elevator, Pool, WiFi",Electricity,55,680,680,1579,0,31,FALSE,1,5,6,2,Cheap rent for the right tenant. No agents. No viewings. Deposit via PayPal secures the property.,Multiple people reporting this same listing on local Facebook groups.,1,Scam
India,Pune,flat,2,0,7,"Balcony, Bike Storage, CCTV/Security, Garden, Lift/Elevator, Washing Machine, WiFi","Council Tax, Electricity",175,370,370,671,0,100,FALSE,6,11,8,5,Ground floor flat with private entrance. Includes allocated parking space.,Clean flat on move-in. Deposit returned promptly at end of tenancy.,0,Not Scam
India,Ahmedabad,flat,2,1,5,"Balcony, Concierge, Dishwasher, Laundry Room, Washing Machine","Council Tax, Gas/Heating, Parking, Water",155,270,270,8024,1,78,FALSE,3,42,5,4,"Cosy top-floor apartment with city views. South-facing living room, very bright and warm.",Lived here for 2 years with no problems. Great neighbours too.,0,Not Scam
India,Delhi,house,3,1,8,"Bike Storage, CCTV/Security, Concierge, Dishwasher, Gym, Laundry Room, Parking, Washing Machine","Council Tax, Gas/Heating, Gym, Laundry Room, WiFi",260,590,590,2204,1,39,TRUE,6,5,7,4,Purpose-built flat in a well-managed block. Communal garden and bike storage available.,Landlord respected our privacy and handled maintenance well.,0,Not Scam
India,Hyderabad,house,2,0,4,"Balcony, Dishwasher, Garden, Parking","Gas/Heating, Laundry Room",70,356.5,356.5,991,0,23,TRUE,1,4,14,3,"Gorgeous flat, fully furnished, bills included, below market price. Email only, owner based overseas.",No phone number given. Email only contact is extremely suspicious.,1,Scam
India,Chennai,flat,1,1,5,"Bike Storage, Gym, Laundry Room, Lift/Elevator, WiFi","Council Tax, Parking",145,165,165,2183,1,53,FALSE,3,5,6,3,Spacious 3-bed house with utility room and large kitchen-diner. Available mid-month.,Good experience overall. Repairs were handled quickly when needed.,0,Not Scam
India,Kolkata,flat,3,1,5,"Concierge, Dishwasher, Gym, Parking, Washing Machine","Electricity, TV Licence",58,500,500,1541,0,34,FALSE,6,6,5,4,"Urgent let! Owner moving abroad, needs reliable tenant immediately. No agent fees. Low deposit.",Multiple people reporting this same listing on local Facebook groups.,1,Scam
Indonesia,Jakarta,house,2,0,6,"Balcony, Dishwasher, Garden, Parking, Washing Machine, WiFi","Council Tax, Gas/Heating, Water",135,443.75,649.75,2724,1,58,FALSE,12,18,1,5,"Recently renovated property with high-quality fixtures. Energy-efficient boiler, low bills.",Straightforward process from viewing to move-in. Very professional.,0,Not Scam
Indonesia,Bali (Villas),flat,1,1,6,"Bike Storage, CCTV/Security, Dishwasher, Garden, Laundry Room, Pool","Council Tax, Electricity, Water",190,715,715,1841,0,46,TRUE,6,7,5,4,"Quiet flat on a tree-lined street. Close to parks, schools, and supermarkets.",Property was well maintained throughout our stay. Highly recommend.,0,Not Scam
Indonesia,South Tangerang,flat,3,0,6,"Concierge, Dishwasher, Garden, Laundry Room, Parking, Washing Machine",Electricity,55,760,760,2603,0,17,TRUE,1,8,1,3,"Professional landlord offering clean, modern accommodation. Easy access to public transport.",Very responsive landlord. Any small issues were fixed within days.,0,Not Scam
Indonesia,Tangerang,house,3,1,6,"Balcony, Bike Storage, CCTV/Security, Concierge, Dishwasher, Gym","Council Tax, Electricity, Laundry Room, Parking",260,754.25,754.25,6479,1,64,FALSE,3,2,7,5,Best deal in the city â priced to go fast. No viewings before deposit secured. Safe neighbourhood.,Deposit demanded before any contract or tenancy agreement provided.,1,Scam
Indonesia,Surabaya,flat,2,1,6,"CCTV/Security, Dishwasher, Garden, Gym, Laundry Room, Lift/Elevator","Gas/Heating, Water, WiFi",80,300,300,2470,1,46,FALSE,3,1,5,3,Dream flat in city centre at student budget prices. Contact via email. Looking for trustworthy person only.,Agent said they would send keys by post. This is a known scam method.,1,Scam
Ireland,Dublin,flat,2,0,5,"Balcony, CCTV/Security, Dishwasher, Parking, Pool","Council Tax, Electricity, WiFi",200,2900,2900,1553,0,41,TRUE,1,3,4,3,Stunning penthouse available for a fraction of the price. I am relocating and just need a good tenant.,Tried calling the number given and it does not connect to anyone.,1,Scam
Ireland,Cork,house,2,1,5,"Bike Storage, Concierge, Garden, Laundry Room, Washing Machine","Council Tax, Gas/Heating, Laundry Room",115,2100,2709.4,1449,1,71,FALSE,6,5,3,5,"Property listed by owner, not agent. Currently stationed abroad with UN. Deposit secures property.",Found the exact same listing posted under three different names.,1,Scam
Israel,Tel Aviv,flat,1,1,3,"Balcony, CCTV/Security, Gym","Electricity, Gym",110,2510,2510,1823,1,57,FALSE,1,3,6,4,"Very cheap, very clean, very central. Email me for more details. Cannot meet in person currently.",Landlord became aggressive when I asked for a viewing. Walk away.,1,Scam
Israel,Tel Aviv,studio,0,0,5,"Dishwasher, Garden, Gym, Laundry Room, Parking","Council Tax, Gas/Heating",95,2008,2008,996,1,47,FALSE,3,1,5,3,"Incredible opportunity â 3 bed house at 1 bed price. I am a Christian landlord, very trustworthy.",Could not verify this property exists. Address appeared to be fake.,1,Scam
Italy,Milan,flat,3,0,5,"Bike Storage, CCTV/Security, Concierge, Garden, Parking","Electricity, Gas/Heating, Laundry Room",195,3479,3479,3142,0,54,TRUE,6,1,2,3,Flat available below market rate due to personal reasons. Deposit required before viewing can be arranged.,Landlord refused every request for a viewing before payment.,1,Scam
Italy,Rome,house,3,1,5,"Balcony, Dishwasher, Garden, Lift/Elevator, Pool","Council Tax, Electricity, WiFi",200,2532,2911.8,2070,1,78,FALSE,3,3,3,3,"Excellent location, excellent price. Owner living outside country. Send first month to reserve this gem.",Sent deposit and then received no further replies from the landlord.,1,Scam
Italy,Florence,flat,2,0,6,"Balcony, Bike Storage, Concierge, Dishwasher, Gym, Lift/Elevator","Council Tax, Electricity, Laundry Room",195,1767,1767,1605,0,46,FALSE,6,1,1,3,Lovely property in a popular residential area. Minutes from the train station and local cafes.,Landlord was prompt and professional. No issues during the tenancy.,0,Not Scam
Italy,Naples,house,2,1,6,"Balcony, CCTV/Security, Concierge, Gym, Laundry Room, Parking","Gas/Heating, Laundry Room",95,1413,1413,1989,1,79,FALSE,3,3,6,3,Immaculate flat on a high floor with panoramic views. Recently refurbished throughout.,Property was exactly as described. Would recommend to others.,0,Not Scam
Italy,Turin,flat,1,0,5,"Concierge, Dishwasher, Laundry Room, Lift/Elevator, Washing Machine","Council Tax, Gas/Heating, Water",135,1001,1001,1810,1,86,FALSE,6,3,2,3,"Spacious flat, all bills included, furnished, HALF PRICE for the right tenant. No viewings first.",Seems too good to be true. Price is nowhere near the area average.,1,Scam
Italy,Palermo,flat,3,0,7,"Balcony, Bike Storage, Dishwasher, Garden, Gym, Parking, Washing Machine","Council Tax, Electricity",115,1001,1001,2185,1,90,FALSE,3,3,1,3,This property is priced extremely low due to landlord emergency. Act fast before it is gone.,Profile created just a few days ago. No history or reviews at all.,1,Scam
Italy,Catania,house,3,1,2,"Dishwasher, Parking","Gas/Heating, Laundry Room, Water",155,1171.5,1171.5,1919,1,76,FALSE,3,3,6,3,Rental priced at half the going rate. Landlord wants a quick let before flying out next week.,The property photos appear to be copied from an estate agent listing.,1,Scam
Japan,Tokyo,flat,1,0,3,"Balcony, CCTV/Security, Laundry Room","Council Tax, Electricity",55,860,860,1970,1,50,FALSE,6,3,2,3,You will not find anything like this at this price in this area. Contact me now.,Landlord claimed to be abroad and could not provide local references.,1,Scam
Japan,Kawasaki,house,3,0,4,"Bike Storage, Concierge, Dishwasher, Gym","Council Tax, Gas/Heating, Laundry Room",180,1207.5,1207.5,4794,1,82,FALSE,1,3,7,3,Charming flat on a quiet side street. Period features with modern upgrades throughout.,Lived here for 2 years with no problems. Great neighbours too.,0,Not Scam
Japan,Yokohama,flat,2,1,5,"Balcony, CCTV/Security, Dishwasher, Laundry Room, Pool","Council Tax, Gas/Heating, Water",135,930,930,2159,1,87,FALSE,6,3,2,3,Bright studio with mezzanine sleeping area. Compact but cleverly designed with good storage.,Landlord respected our privacy and handled maintenance well.,0,Not Scam
Japan,Fukuoka,flat,1,0,6,"Bike Storage, Concierge, Gym, Laundry Room, Lift/Elevator, Washing Machine","Council Tax, Gas/Heating, Laundry Room",180,510,510,1466,0,42,TRUE,6,3,4,3,Beautiful flat offered cheap because of relationship breakdown. Landlord wants quick let only.,No phone number given. Email only contact is extremely suspicious.,1,Scam
Japan,Kobe,house,2,1,4,"Concierge, Garden, Parking, Washing Machine","Council Tax, Electricity, Laundry Room",115,506,506,1342,0,48,TRUE,1,3,1,3,Family home with south-facing garden and off-street parking. Well-regarded school catchment.,Straightforward process from viewing to move-in. Very professional.,0,Not Scam
Japan,Sapporo,flat,3,0,3,"CCTV/Security, Dishwasher, Pool","Gas/Heating, Laundry Room",70,640,640,1767,1,38,FALSE,3,3,6,3,Newly built apartment with high specification throughout. Smart heating system installed.,Property was well maintained throughout our stay. Highly recommend.,0,Not Scam
Kazakhstan,Astana,house,2,1,4,"Concierge, Dishwasher, Garden, Washing Machine","Council Tax, Gas/Heating",115,954.5,954.5,1805,1,63,FALSE,1,3,2,3,"Spacious flat, all bills included, furnished, HALF PRICE for the right tenant. No viewings first.",Seems too good to be true. Price is nowhere near the area average.,1,Scam
Kazakhstan,Almaty,flat,3,0,6,"Balcony, Bike Storage, Concierge, Dishwasher, Garden, Laundry Room","Council Tax, Electricity, Laundry Room",195,1560,1560,2900,0,46,FALSE,3,3,1,3,Owner-managed property well below market. No credit checks needed. Just a deposit and it is yours.,Deposit demanded before any contract or tenancy agreement provided.,1,Scam
Kazakhstan,Kostanay,house,2,0,7,"Balcony, Bike Storage, CCTV/Security, Dishwasher, Garden, Gym, Laundry Room","Council Tax, Gas/Heating",180,563.5,563.5,793,1,82,FALSE,1,3,7,3,Exceptional property at a shocking price. I cannot stress enough how trustworthy I am. Email me.,Agent said they would send keys by post. This is a known scam method.,1,Scam
Kazakhstan,Ust-Kamenogorsk,flat,3,1,5,"Bike Storage, Concierge, Dishwasher, Garden, Laundry Room","Council Tax, Gas/Heating",95,410,410,1354,1,70,FALSE,3,3,0,3,Low rent because I have already found my new place and am paying double. Need someone fast.,Tried calling the number given and it does not connect to anyone.,1,Scam
Kazakhstan,Karaganda,house,3,0,6,"Bike Storage, CCTV/Security, Garden, Gym, Parking, Pool","Council Tax, Electricity",115,610,609.5,1637,0,45,FALSE,6,3,1,3,"Quiet flat in a gated development. 24-hour security, CCTV throughout building.",Well priced for the area and what you get. Happy with everything.,0,Not Scam
Kazakhstan,Pavlodar,house,3,1,3,"Dishwasher, Laundry Room, Pool",Laundry,20,517,517,642,1,47,FALSE,3,35,7,4,"Modern apartment in a sought-after development. Concierge service, gym included in building.",Communication with landlord was excellent. Very reasonable person.,0,Not Scam
Kazakhstan,Aktau,studio,0,0,4,"Dishwasher, Laundry Room, Lift/Elevator, Washing Machine",,0,252,252,1445,1,58,FALSE,6,23,1,4,"Clean and comfortable flat, professionally managed. References and credit check required.",Clean flat on move-in. Deposit returned promptly at end of tenancy.,0,Not Scam
Kazakhstan,Astana,flat,2,1,7,"Balcony, CCTV/Security, Concierge, Laundry Room, Lift/Elevator, Parking, WiFi","Gym, TV Licence, WiFi",78,830,830,419,0,46,TRUE,1,3,26,2,This property is priced extremely low due to landlord emergency. Act fast before it is gone.,Profile created just a few days ago. No history or reviews at all.,1,Scam
Kazakhstan,Almaty,flat,1,1,8,"Balcony, CCTV/Security, Concierge, Dishwasher, Garden, Gym, Lift/Elevator, WiFi","Electricity, Gas/Heating, Laundry Room, Water",130,630,630,791,0,28,TRUE,1,12,18,2,Rental priced at half the going rate. Landlord wants a quick let before flying out next week.,The property photos appear to be copied from an estate agent listing.,1,Scam
Kazakhstan,Kostanay,flat,1,1,11,"Balcony, Bike Storage, Concierge, Dishwasher, Garden, Gym, Laundry Room, Parking, Pool, Washing Machine, WiFi","Council Tax, Water",135,490,490,119,1,16,TRUE,1,3,24,2,You will not find anything like this at this price in this area. Contact me now.,Landlord claimed to be abroad and could not provide local references.,1,Scam
Kazakhstan,Ust-Kamenogorsk,flat,2,0,5,"Concierge, Dishwasher, Garden, Laundry Room, Washing Machine","Gas/Heating, Water",55,410,410,1720,1,70,FALSE,3,13,1,3,Charming flat on a quiet side street. Period features with modern upgrades throughout.,Lived here for 2 years with no problems. Great neighbours too.,0,Not Scam
Kazakhstan,Karaganda,studio,0,0,7,"Balcony, CCTV/Security, Concierge, Garden, Gym, Parking, WiFi","Council Tax, Electricity, Water",190,360,280,3070,1,52,FALSE,6,49,6,4,Bright studio with mezzanine sleeping area. Compact but cleverly designed with good storage.,Landlord respected our privacy and handled maintenance well.,0,Not Scam
Kazakhstan,Pavlodar,flat,3,1,7,"Bike Storage, Concierge, Dishwasher, Laundry Room, Parking, Washing Machine, WiFi",Gas/Heating,40,450,450,885,0,22,TRUE,1,4,14,1,Beautiful flat offered cheap because of relationship breakdown. Landlord wants quick let only.,No phone number given. Email only contact is extremely suspicious.,1,Scam
Kazakhstan,Aktau,house,3,0,6,"Balcony, CCTV/Security, Garden, Gym, Parking, Pool",WiFi,25,490,563.5,1463,1,70,FALSE,12,18,0,5,Family home with south-facing garden and off-street parking. Well-regarded school catchment.,Straightforward process from viewing to move-in. Very professional.,0,Not Scam
Latvia,Riga,flat,2,0,3,"Concierge, Dishwasher, WiFi","Council Tax, Parking, TV Licence, WiFi",243,1508,1508,6196,0,90,FALSE,6,12,2,3,Newly built apartment with high specification throughout. Smart heating system installed.,Property was well maintained throughout our stay. Highly recommend.,0,Not Scam
Latvia,Riga,flat,1,0,7,"Balcony, CCTV/Security, Concierge, Gym, Lift/Elevator, Parking, Pool",,0,974,974,407,0,12,TRUE,1,12,23,2,Cheap rent for the right tenant. No agents. No viewings. Deposit via PayPal secures the property.,Multiple people reporting this same listing on local Facebook groups.,1,Scam
Latvia,Riga,flat,1,1,6,"Balcony, CCTV/Security, Dishwasher, Garden, Pool, WiFi","Council Tax, Gym",155,974,974,1602,1,80,FALSE,3,37,0,3,Attractive ground-floor flat with patio doors opening to communal garden. No pets.,Very responsive landlord. Any small issues were fixed within days.,0,Not Scam
Latvia,Riga,flat,1,0,4,"Balcony, Gym, Lift/Elevator, WiFi","Gas/Heating, Water",55,974,974,510,1,63,FALSE,1,48,6,4,Well-located flat above shops with excellent transport connections to city centre.,Smooth handover and honest deposit return. Would rent here again.,0,Not Scam
Latvia,Riga,studio,0,1,7,"Dishwasher, Gym, Lift/Elevator, Parking, Pool, Washing Machine, WiFi","Electricity, Parking, Water, WiFi",175,779.2,779.2,248,1,13,FALSE,3,4,28,1,Owner-managed property well below market. No credit checks needed. Just a deposit and it is yours.,Deposit demanded before any contract or tenancy agreement provided.,1,Scam
Latvia,Riga,flat,1,0,11,"Balcony, Bike Storage, Concierge, Dishwasher, Garden, Gym, Laundry Room, Lift/Elevator, Parking, Washing Machine, WiFi",,0,974,974,240,1,21,TRUE,1,11,22,3,Exceptional property at a shocking price. I cannot stress enough how trustworthy I am. Email me.,Agent said they would send keys by post. This is a known scam method.,1,Scam
Latvia,Riga,house,3,1,5,"Dishwasher, Laundry Room, Lift/Elevator, Pool, WiFi",,0,2668,2668,2548,0,21,TRUE,1,9,9,3,Low rent because I have already found my new place and am paying double. Need someone fast.,Tried calling the number given and it does not connect to anyone.,1,Scam
Latvia,Riga,flat,2,0,6,"Bike Storage, Concierge, Garden, Parking, Washing Machine, WiFi","Council Tax, Electricity, TV Licence",193,1508,1508,5697,0,84,TRUE,6,46,6,4,Spacious property with original wooden floors and bay windows. Must be seen.,"Nice area, well-managed building. Landlord was easy to deal with.",0,Not Scam
Latvia,Riga,flat,3,1,7,"Bike Storage, Concierge, Gym, Laundry Room, Lift/Elevator, Pool, Washing Machine","Gas/Heating, Laundry Room, TV Licence",78,2320,2320,2125,1,48,FALSE,12,49,1,3,Modern development with secure underground parking. On-site property management available.,Did not have a single issue during our 18-month tenancy.,0,Not Scam
Latvia,Riga,flat,3,1,4,"Bike Storage, Concierge, Laundry Room, Lift/Elevator",,0,2320,2320,4375,1,74,FALSE,12,12,7,5,Comfortable 2-bed apartment close to university. Great for professionals or students.,One of the better rental experiences I have had. Landlord is fair.,0,Not Scam
Latvia,Riga,house,3,0,12,"Balcony, CCTV/Security, Concierge, Dishwasher, Garden, Gym, Laundry Room, Lift/Elevator, Parking, Pool, Washing Machine, WiFi","Council Tax, Electricity, WiFi",200,2668,2668,1675,1,39,TRUE,3,3,9,3,Keys will be shipped once deposit is sent. I have done this before and it is perfectly safe.,Found the exact same listing posted under three different names.,1,Scam
Latvia,Riga,flat,3,0,4,"Bike Storage, Lift/Elevator, Parking, Washing Machine","Council Tax, Laundry Room, WiFi",165,2320,2320,8560,0,45,FALSE,6,33,1,4,"Quiet flat in a gated development. 24-hour security, CCTV throughout building.",Well priced for the area and what you get. Happy with everything.,0,Not Scam
