Country,City,PropertyType,Bedrooms,AreaAveragePrice,BillsIncludedCost,Price,DepositAmount,LandlordVerified,ReputationScore,NationalityMismatch,ThumbsUpCount,ThumbsDownCount,AverageReviewRating,RentalDescription,Reviews,ScenarioType,IsScam,PriceRatio,DepositRatio,ThumbsRatio,DescriptionScamScore,IsNewListing
Germany,Stuttgart,Studio,1,1055.2,134.04268541985869,1065.9047632719057,2372.493433481322,1,96.8142468806039,0,27,11,4.597773373818842,Recently updated apartment with washing machine and wifi,"decent listing, no major problems",legit_normal,0,0.8955356553154596,2.246253960879873,0.6923076923076923,0.0,0
United Arab Emirates,Ajman,Apartment,2,862.0,139.36488539562706,1159.9382203244209,1453.798751617056,0,67.48757585219641,1,2,1,4.203921118292145,Bright apartment near metro and university,"good experience, apartment matched photos",legit_normal,0,1.157201571228825,1.6845871977022666,0.5,0.0,0
Russia,Novosibirsk,Apartment,2,510.0,62.26323070697809,590.3563755319436,545.2964280509351,1,100.0,0,15,11,5.0,Spacious room in shared apartment close to city center,"good experience, apartment matched photos",legit_normal,0,1.0298172705126847,1.067116297555646,0.5555555555555556,0.0,0
Colombia,Cartagena,House,1,804.9999999999999,106.55870972850836,897.753220883534,1020.1557256815834,1,97.77479909174944,1,7,6,4.694540971697403,Bright apartment near metro and university,professional communication and returned deposit on time,legit_normal,0,0.9837758505977342,1.2657018929051904,0.5,0.0,0
Greece,Athens,Apartment,2,1020.0,65.16868297502985,1186.9135828891465,1671.1873278262233,1,79.03698548926224,0,38,15,3.7612007851607014,Well maintained property with clear contract terms,some issues but manageable,legit_normal,0,1.0927525360408799,1.636814229016869,0.7037037037037037,0.0,0
Australia,Gold Coast,Apartment,1,1810.0,113.84673364574063,1894.5648780693778,3889.7535435011637,1,66.34628551843952,0,5,1,5.0,Spacious room in shared apartment close to city center,"good experience, apartment matched photos",legit_normal,0,0.984267913363155,2.147848450304342,0.7142857142857143,0.0,0
Panama,Panama City,Apartment,3,2500.0,392.1032592733476,3360.323639670425,2927.001922699141,1,91.94871458671601,0,35,6,4.465227833489793,Recently updated apartment with washing machine and wifi,"decent listing, no major problems",legit_normal,0,1.1614945401272776,1.1703326360252462,0.8333333333333334,0.0,0
Belgium,Brussels,Apartment,3,2552.0,505.0695937662556,3242.0107722336847,5415.698859558964,1,98.94646315012953,0,33,0,5.0,act fast limited time low price send deposit first,overall positive and responsive host,legit_normal,0,1.0601494416093031,2.1213078180802833,0.9705882352941176,0.7,0
Romania,Timisoara,House,2,744.05,32.833957905615186,814.6527318824321,1280.0693005540886,1,69.78590595065158,0,35,9,3.570063627917673,act fast limited time low price send deposit first,okay place,legit_normal,0,1.047267685113103,1.7180985176217551,0.7777777777777778,0.7,0
Taiwan,Tainan City,Apartment,3,710.0,135.31810304900247,809.9681724128187,1169.346314950817,1,100.0,0,35,9,4.118288360989888,Recently updated apartment with washing machine and wifi,professional communication and returned deposit on time,legit_normal,0,0.9570493287273106,1.6446502319983363,0.7777777777777778,0.0,0
Colombia,Bello,Apartment,1,310.0,37.18746796400984,326.67367146280935,587.4089622005754,1,81.4887638618935,0,40,5,3.3055005952971688,Spacious room in shared apartment close to city center,reliable landlord and smooth move in process,legit_normal,0,0.9382120309297741,1.8887747980725897,0.8695652173913043,0.0,0
Turkey,Bursa,Apartment,2,410.0,34.62921073312563,433.57210519508794,1046.2067780975863,1,81.9720656070096,1,8,7,3.7870525327968063,Clean studio in quiet neighborhood with good sunlight,reliable landlord and smooth move in process,legit_normal,0,0.9729436373387598,2.545515275176609,0.5,0.0,0
Spain,Barcelona,House,2,3115.35,558.3242093953827,4040.873105051188,4913.1003334112,1,100.0,0,3,6,4.81193565025941,Spacious room in shared apartment close to city center,reliable landlord and smooth move in process,legit_normal,0,1.099654792449222,1.5765560137376098,0.3,0.0,0
Mexico,Monterrey,Studio,1,824.0,136.9942268626809,964.9815558289948,1043.5033756592222,1,100.0,1,22,1,4.932046280086254,Clean studio in quiet neighborhood with good sunlight,professional communication and returned deposit on time,legit_normal,0,1.0031053502015874,1.264852576556633,0.9166666666666666,0.0,0
India,Mumbai,Apartment,2,750.0,83.2625584249048,932.9668656396238,728.8680450387703,0,87.66767683976069,1,21,11,4.5195735769727525,Recently updated apartment with washing machine and wifi,different from photos,legit_normal,0,1.1183132410989098,0.9705300200249938,0.6363636363636364,0.0,0
Qatar,Doha,Apartment,1,1995.0,341.39435455587613,2317.1436763277347,3955.422298150055,1,62.211468059578365,0,15,13,4.503300575294061,Clean studio in quiet neighborhood with good sunlight,not bad,legit_normal,0,0.9913362166770575,1.98167449807117,0.5172413793103449,0.0,0
Spain,Barcelona,Apartment,1,1884.0,170.4889603124132,2025.2074644339073,3980.5021982811795,0,53.49619871999617,1,15,12,4.831883912416965,Bright apartment near metro and university,overall positive and responsive host,legit_normal,0,0.98526798418129,2.1116722537300685,0.5357142857142857,0.0,0
Russia,Yekaterinburg,Studio,1,304.0,33.78359950769522,378.5848522499907,563.9315248396747,1,90.85351074858197,0,7,11,3.482882016358509,Comfortable flat with balcony and furnished kitchen,overall positive and responsive host,legit_normal,0,1.1174828203022014,1.8489558191464743,0.3684210526315789,0.0,0
Argentina,Buenos Aires,Apartment,1,480.0,77.65749482502086,603.8503897678008,857.3833167338782,1,64.22274873842869,1,20,5,3.579397708883849,Clean studio in quiet neighborhood with good sunlight,overall positive and responsive host,legit_normal,0,1.0808955314506878,1.7825016979914308,0.7692307692307693,0.0,0
Hungary,Debrecen,Apartment,2,930.0,71.10559267229988,957.6375465352393,1507.826097774858,1,64.46179739658595,0,15,2,4.242997723900338,Recently updated apartment with washing machine and wifi,overall positive and responsive host,legit_normal,0,0.9556253887192883,1.6195769041620387,0.8333333333333334,0.0,0
Italy,Florence,Apartment,2,1767.0,138.99491653702745,1955.3298974711245,2473.3107104845626,1,100.0,0,12,7,4.292603509265766,urgent half price apartment no viewing deposit before viewing,"good experience, apartment matched photos",legit_normal,0,1.02534615090735,1.3989313973328974,0.6,0.9999999999999999,0
Latvia,Riga,Studio,1,779.2,109.049683991554,892.5796469152905,1376.757898152458,1,81.94144744936769,0,32,4,3.457666201981843,Recently updated apartment with washing machine and wifi,mixed experience,legit_normal,0,1.0037446883408372,1.7646217612823096,0.8648648648648649,0.0,0
Poland,Warsaw,Apartment,2,1508.0,53.51861789931436,1808.7906718343907,1315.99309328175,1,89.05301826051245,0,33,8,4.463663132116535,Well maintained property with clear contract terms,mixed experience,legit_normal,0,1.1576122364968489,0.8720961519428428,0.7857142857142857,0.0,0
Latvia,Riga,Apartment,1,974.0,162.43099278932465,1115.8774194213752,1876.0534217606898,1,99.66848258854705,0,21,1,3.9369406407847,Recently updated apartment with washing machine and wifi,"decent listing, no major problems",legit_normal,0,0.9810506540576202,1.9241573556519895,0.9130434782608695,0.0,0
Italy,Rome,House,3,2911.7999999999997,420.4463292416797,3226.3490155090685,6237.399865735691,1,63.248648941217894,0,30,11,3.6949542982968375,Well maintained property with clear contract terms,"decent listing, no major problems",legit_normal,0,0.9679299688130368,2.1413759495110174,0.7142857142857143,0.0,0
Japan,Kawasaki,House,2,965.9999999999999,59.39056416904148,1138.312072637497,1626.5621583123652,1,66.80320577349158,0,21,2,3.8981461799526618,Well maintained property with clear contract terms,some issues but manageable,legit_normal,0,1.1090437815541168,1.6820704842940697,0.875,0.0,0
Japan,Kawasaki,Studio,1,488.0,28.779360726376144,606.0135164603063,475.2208784916065,1,73.49587172627704,0,15,6,3.7681567107424616,Well maintained property with clear contract terms,"good experience, apartment matched photos",legit_normal,0,1.1704087926759947,0.9718218374061484,0.6818181818181818,0.0,0
Ireland,Cork,Apartment,2,2356.0,93.1826367216692,2356.3590412472195,5228.33179847819,0,92.5916921646485,1,16,2,4.431345214530572,Spacious room in shared apartment close to city center,overall positive and responsive host,legit_normal,0,0.961707509445098,2.218214594178273,0.8421052631578947,0.0,0
Indonesia,South Tangerang,Studio,1,224.0,13.398299533993907,249.74184220178068,376.1904111061421,0,96.08904454963172,0,29,7,3.1441057124368053,urgent half price apartment no viewing deposit before viewing,"good experience, apartment matched photos",legit_normal,0,1.0475823136740507,1.6719573826939649,0.7837837837837838,0.9999999999999999,0
Kazakhstan,Karaganda,Studio,1,280.0,23.55467086405618,339.1926120149491,681.0877436052895,0,88.00945696045099,1,4,11,4.62919679058044,Comfortable flat with balcony and furnished kitchen,"decent listing, no major problems",legit_normal,0,1.1137330813302622,2.42379979930708,0.25,0.0,0
Cayman Islands,Grand Cayman,Apartment,1,3000.0,433.9060715104748,3355.5404957872765,3320.376090767288,1,78.338480355997,0,25,7,5.0,very cheap luxury deal landlord abroad pay first,some issues but manageable,legit_normal,0,0.9768943970894967,1.1064232225149244,0.7575757575757576,0.8,0
Bosnia and H.,Sarajevo,Apartment,2,440.0,54.05525618494308,518.9345874083614,944.986763088906,0,91.88238107099613,0,9,12,3.8723871828170435,Recently updated apartment with washing machine and wifi,reliable landlord and smooth move in process,legit_normal,0,1.0482356886935011,2.1428271271857278,0.4090909090909091,0.0,0
Brazil,Guarapari,Apartment,2,540.0,89.41063554183127,613.3865304307228,880.5748943544825,1,65.16876499058684,0,12,5,4.067708960425633,act fast limited time low price send deposit first,"decent listing, no major problems",legit_normal,0,0.9729952127211869,1.6276800265332394,0.6666666666666666,0.7,0
United States,Boston,House,2,3794.9999999999995,500.68725945448404,4445.826436647058,7467.484778154761,1,60.64590126410793,0,33,9,4.396294103420158,Spacious room in shared apartment close to city center,professional communication and returned deposit on time,legit_normal,0,1.0347102705379374,1.967198308259948,0.7674418604651163,0.0,0
Hungary,Nyï¿½regyhï¿½za,Apartment,1,530.0,71.35499594849942,652.4262314953173,1184.5072346849693,1,93.66234151654203,1,13,3,3.74083816659196,Recently updated apartment with washing machine and wifi,okay place,legit_normal,0,1.0831257910760301,2.2307104231355352,0.7647058823529411,0.0,0
United Kingdom,Leeds,Studio,1,904.0,79.84471157382075,1052.7720885802007,2305.140400722145,1,81.0608652214643,0,17,2,3.3143165728071007,Well maintained property with clear contract terms,reliable landlord and smooth move in process,legit_normal,0,1.0689726778324569,2.547116464886348,0.85,0.0,0
United States,San Francisco,Apartment,1,3400.0,254.1519001568705,3601.023232233607,4552.003701233469,1,72.31453156498334,0,33,7,4.68197785571055,Comfortable flat with balcony and furnished kitchen,some issues but manageable,legit_normal,0,0.9851911303820395,1.3384309618445953,0.8048780487804879,0.0,0
Serbia,Belgrade,Apartment,2,1102.0,114.96515415987518,1336.1735802387825,2718.5455846916147,1,100.0,0,1,0,5.0,Bright apartment near metro and university,"decent listing, no major problems",legit_normal,0,1.0970540295633044,2.4646832136823345,0.5,0.0,0
Saudi Arabia,Jeddah,Studio,1,624.0,76.18894820428355,697.2883718029216,854.6561247408617,1,75.76138178612516,0,37,10,4.993744218227906,act fast limited time low price send deposit first,"good experience, apartment matched photos",legit_normal,0,0.994437196405689,1.3674497995853787,0.7708333333333334,0.7,0
India,Delhi,House,1,206.99999999999997,12.938283752142048,231.02111651239366,486.4203626065619,0,65.22324404697538,1,31,4,4.017179882506709,Recently updated apartment with washing machine and wifi,not bad,legit_normal,0,1.0456364220316068,2.338559435608471,0.8611111111111112,0.0,0
Vietnam,Ho Chi Minh City,Apartment,3,840.0,80.64348676172543,997.5181908510998,1487.0846726504044,1,100.0,0,33,0,4.88451919924167,Clean studio in quiet neighborhood with good sunlight,okay place,legit_normal,0,1.0823254383926335,1.768233855707972,0.9705882352941176,0.0,0
Costa Rica,San Jose,Studio,1,800.0,69.7933850217598,839.6732176809503,1994.9324194296385,1,93.01056833910496,0,31,1,5.0,Comfortable flat with balcony and furnished kitchen,"good experience, apartment matched photos",legit_normal,0,0.9642622832510012,2.490552333869711,0.9393939393939394,0.0,0
Morocco,Tangier,Apartment,2,1305.0,153.68074942276445,1341.4676673446058,1876.6048325851382,1,64.8116696104936,0,13,6,3.693535944051411,Clean studio in quiet neighborhood with good sunlight,mixed experience,legit_normal,0,0.9190144268704603,1.4369102852872422,0.65,0.0,0
Norway,Oslo,Studio,1,1442.4,69.42543289946236,1567.5045318812922,2254.387844645593,1,100.0,0,38,3,4.36833502439479,act fast limited time low price send deposit first,professional communication and returned deposit on time,legit_normal,0,1.0361436936428499,1.5618593907756635,0.9047619047619048,0.6499999999999999,0
South Africa,Durban,Apartment,2,560.0,104.49522108844859,706.1765989387549,1014.4696303737207,1,65.78030183233535,0,21,5,3.109461952092755,Bright apartment near metro and university,okay place,legit_normal,0,1.0611294815667796,1.808323761806989,0.7777777777777778,0.0,0
Greece,Patra,Apartment,2,647.0,40.521004983382,721.2745267466112,1555.2286221155716,1,95.72046863249047,0,28,6,5.0,Spacious room in shared apartment close to city center,some issues but manageable,legit_normal,0,1.0475708388359477,2.4000441699314377,0.8,0.0,0
Belgium,Oostend,House,2,1164.9499999999998,48.55425039895096,1130.9032430237714,2505.742337366667,1,62.290971908041946,1,32,11,3.4872766132939352,Recently updated apartment with washing machine and wifi,overall positive and responsive host,legit_normal,0,0.9311644999614309,2.1490993073173525,0.7272727272727273,0.0,0
Vietnam,Hanoi,Apartment,2,500.0,76.88401384096431,577.5029583846662,736.3858668400622,1,100.0,1,25,8,4.985472113696108,Comfortable flat with balcony and furnished kitchen,"decent listing, no major problems",legit_normal,0,0.9993406021845708,1.4698320695410425,0.7352941176470589,0.0,0
Estonia,Pï¿½rnu,Apartment,1,465.0,61.81676705288635,517.8943480316962,1163.871670369748,1,78.28711171153375,0,41,2,4.451775334344173,Clean studio in quiet neighborhood with good sunlight,"good experience, apartment matched photos",legit_normal,0,0.9812010158817179,2.4975786917805753,0.9318181818181818,0.0,0
United States,Los Angeles,Apartment,3,4000.0,513.5260612858405,4319.029034703409,6942.216328365719,1,62.22488177371461,0,12,4,4.19540566749539,Bright apartment near metro and university,professional communication and returned deposit on time,legit_normal,0,0.9566960022096429,1.7351203020159258,0.7058823529411765,0.0,0
Mongolia,Ulaanbaatar,Studio,1,400.0,32.79052804304928,477.63284595255243,576.5787260873288,1,90.41259461646216,0,21,12,3.6426550985014488,very cheap luxury deal landlord abroad pay first,"good experience, apartment matched photos",legit_normal,0,1.1010679465669482,1.437852184756431,0.6176470588235294,0.8,0
Indonesia,Bali (Villas),Apartment,1,715.0,72.17474446663088,860.9208773796579,815.9846345519513,1,95.44057884065161,1,37,4,3.351945140897049,Clean studio in quiet neighborhood with good sunlight,"decent listing, no major problems",legit_normal,0,1.0922969600634127,1.1396433443463008,0.8809523809523809,0.0,0
Saudi Arabia,Jeddah,Apartment,2,980.0,123.9125810620462,1098.730520112857,870.4896212974652,1,81.56402677556788,0,29,13,4.79202309404523,Bright apartment near metro and university,overall positive and responsive host,legit_normal,0,0.9944049320687008,0.8873492571839604,0.6744186046511628,0.0,0
Ireland,Dublin,Apartment,3,3595.0,588.7601341163509,4119.251365937351,8691.248718720937,1,97.03845392564608,0,9,4,3.7903786774964363,Recently updated apartment with washing machine and wifi,"decent listing, no major problems",legit_normal,0,0.9843458726236329,2.4169212232260673,0.6428571428571429,0.0,0
United States,San Francisco,Studio,1,2720.0,294.75406873068243,3047.9669116842842,3520.647228372909,1,92.82660926503594,0,7,12,5.0,Bright apartment near metro and university,reliable landlord and smooth move in process,legit_normal,0,1.0106815218414544,1.2938799075240386,0.35,0.0,0
Greece,Thessaloniki,Apartment,1,612.0,84.0672785593665,723.0847923575092,1138.8041164335193,1,74.7632630645347,1,3,8,3.8911471749299795,Bright apartment near metro and university,okay place,legit_normal,0,1.0373242506116673,1.8577554917349417,0.25,0.0,0
Hong Kong,Hong Kong Island,Apartment,1,2500.0,439.3865413213176,3058.526874052585,4258.601088333708,0,65.62926167765019,0,38,4,4.545899414950919,Well maintained property with clear contract terms,mixed experience,legit_normal,0,1.0401785041085716,1.7027593316008427,0.8837209302325582,0.0,0
Argentina,Buenos Aires,Apartment,1,480.0,33.07012923629887,529.5487542027895,820.4391830015082,1,87.29319333917867,0,27,4,4.787573965126509,very cheap luxury deal landlord abroad pay first,professional communication and returned deposit on time,legit_normal,0,1.0301099482078169,1.7056947671549028,0.84375,0.75,0
Japan,Kobe,Apartment,1,440.0,50.910571559167096,543.4574884453898,930.1966822891442,1,97.39274346390448,0,30,9,5.0,Spacious room in shared apartment close to city center,some issues but manageable,legit_normal,0,1.104789203295304,2.109289529000327,0.75,0.0,0
United States,San Diego,Apartment,1,2500.0,157.73186530840067,2744.5544163985483,6164.425992178205,0,76.7306954921206,0,6,2,3.3259428776788456,Recently updated apartment with washing machine and wifi,different from photos,legit_normal,0,1.0322795059592038,2.4647844830780508,0.6666666666666666,0.0,0
Mexico,Mexico City,Apartment,1,1290.0,124.70743278770331,1620.2226390313574,3124.80457559802,1,91.53423432318202,0,3,11,4.668635222460249,Recently updated apartment with washing machine and wifi,overall positive and responsive host,legit_normal,0,1.1444614907763382,2.4204528083640744,0.2,0.0,0
Morocco,Casablanca,Studio,1,652.0,101.36025920986795,766.4119925537684,1456.4767085878816,0,70.05903756201747,0,40,1,3.6497164209168727,Bright apartment near metro and university,some issues but manageable,legit_normal,0,1.015976097887929,2.2304390636874145,0.9523809523809523,0.0,0
Mexico,Monterrey,Apartment,1,1030.0,78.24851058271119,1181.4213317860726,1108.3374103393667,1,78.59591847656036,0,39,2,3.929468262891235,owner abroad no visit possible wire transfer only,overall positive and responsive host,legit_normal,0,1.0650646095214928,1.0750120371865826,0.9285714285714286,0.8999999999999999,0
Australia,Canberra,Apartment,1,1450.0,117.31714827272489,1705.7950620235856,3110.2064108813647,0,58.296691726212906,0,19,11,4.457890834880287,Clean studio in quiet neighborhood with good sunlight,overall positive and responsive host,legit_normal,0,1.0876595106431584,2.1434916684227185,0.6129032258064516,0.0,0
Poland,Warsaw,Apartment,1,1020.0,143.31994741076983,1092.2246919501006,1786.1186895106587,1,90.81462387271283,0,21,3,4.264271876294877,owner abroad no visit possible wire transfer only,professional communication and returned deposit on time,legit_normal,0,0.9380795153248077,1.749381674349323,0.84,0.8499999999999999,0
Germany,Hamburg,Apartment,1,1036.0,173.2184763583711,1327.3041367210456,1878.6476460171882,1,77.31447389793323,0,6,1,4.7303748923295785,Clean studio in quiet neighborhood with good sunlight,mixed experience,legit_normal,0,1.096747539927661,1.811617787866141,0.75,0.0,0
United States,Las Vegas,Apartment,1,1375.0,91.83783421434067,1570.6966152276752,2273.75992896339,1,76.6317928908471,0,5,12,5.0,Clean studio in quiet neighborhood with good sunlight,"decent listing, no major problems",legit_normal,0,1.070075030507978,1.6524418088396728,0.2777777777777778,0.0,0
United States,Miami,Apartment,3,3500.0,573.8208561122194,4095.354410345258,3399.3626457630844,1,66.14904717791588,1,18,7,3.769350083152118,Comfortable flat with balcony and furnished kitchen,professional communication and returned deposit on time,legit_normal,0,1.0050391305429387,0.9709690504893129,0.6923076923076923,0.0,0
United Kingdom,Manchester,Studio,1,1182.4,157.09086367874772,1306.690925567373,2446.3727472794817,1,99.95785537502174,0,15,7,3.7228569796067625,Well maintained property with clear contract terms,some issues but manageable,legit_normal,0,0.9747854021036617,2.0672407869524094,0.6521739130434783,0.0,0
Romania,Cluj-Napoca,Apartment,2,824.0,100.9487768790955,1016.4257356311665,1621.7838051711663,0,94.07998687108805,0,7,9,4.712467046247024,Bright apartment near metro and university,professional communication and returned deposit on time,legit_normal,0,1.0977127039975398,1.9657985517226257,0.4117647058823529,0.0,0
Australia,Darwin,Studio,1,1000.0,187.58839056762423,1093.9859708674096,1414.257690280015,1,72.60512547229607,0,8,9,3.7773949485381886,Comfortable flat with balcony and furnished kitchen,different from photos,legit_normal,0,0.9204077538944865,1.4128448454345803,0.4444444444444444,0.0,0
India,Bangalore,Studio,1,256.0,24.66466739742183,255.10454524094237,426.72870607787854,1,70.06660238660415,0,13,6,4.0304836989308885,Comfortable flat with balcony and furnished kitchen,"good experience, apartment matched photos",legit_normal,0,0.9057030390006149,1.6604229808477764,0.65,0.0,0
United Kingdom,Glasgow,Studio,1,965.6,59.49237921508447,961.7846992542446,1265.203780991953,1,61.17032386209794,1,39,9,4.3916071338988445,Comfortable flat with balcony and furnished kitchen,reliable landlord and smooth move in process,legit_normal,0,0.9373275922680252,1.308921768044644,0.7959183673469388,0.0,0
Vietnam,Ho Chi Minh City,Apartment,2,535.0,91.23841216556043,592.7256829337902,584.8517089995405,1,64.51484495032119,0,7,10,4.924382696935727,Comfortable flat with balcony and furnished kitchen,okay place,legit_normal,0,0.9449766969586348,1.091141248133471,0.3888888888888889,0.0,0
Cambodia,Kep And Kampot,Studio,1,480.0,68.2027393785534,582.8393472808255,648.3394559218463,1,100.0,1,34,9,4.212772900436654,Clean studio in quiet neighborhood with good sunlight,okay place,legit_normal,0,1.0612462493182997,1.3478990767605952,0.7727272727272727,0.0,0
Australia,Melbourne,Studio,1,1272.0,170.14189223279973,1383.5377865397966,2871.022919434146,1,76.82640774192092,0,11,11,4.138843012433926,Recently updated apartment with washing machine and wifi,okay place,legit_normal,0,0.9586983746963474,2.2553204394612303,0.4782608695652174,0.0,0
Italy,Milan,Apartment,2,2320.0,208.38248544957716,2373.6592795788583,5746.7422913784885,1,100.0,0,17,5,3.728268819943949,Bright apartment near metro and university,different from photos,legit_normal,0,0.9384342989775071,2.4759768597063716,0.7391304347826086,0.0,0
India,Mumbai,House,1,465.74999999999994,42.76188030832406,536.1911067969672,1039.2003832277167,1,95.9135919836745,0,4,0,4.463580155818009,Clean studio in quiet neighborhood with good sunlight,not bad,legit_normal,0,1.0523623246478544,2.226460381848349,0.8,0.0,0
Colombia,Barranquilla,Apartment,1,560.0,55.55672330664682,665.3868259701183,521.5986246732633,1,67.00732558385646,0,36,7,4.734086848263209,Spacious room in shared apartment close to city center,overall positive and responsive host,legit_normal,0,1.079198070214191,0.929765819381931,0.8181818181818182,0.0,0
Argentina,Cï¿½rdoba,Studio,1,312.0,47.66846878363689,385.97482662269135,481.3046644523628,1,76.98734144435142,0,0,3,3.8971869755716435,Spacious room in shared apartment close to city center,"decent listing, no major problems",legit_normal,0,1.0701651517372748,1.537714582914897,0.0,0.0,0
Bosnia and H.,Sarajevo,House,3,746.3499999999999,72.72402916964704,763.5467344045974,1776.7601373203809,1,85.66254983340845,0,26,11,4.762256691703133,Bright apartment near metro and university,reliable landlord and smooth move in process,legit_normal,0,0.9310704975960703,2.3774137115412874,0.6842105263157895,0.0,0
Switzerland,Zurich,Apartment,1,2981.0,433.94108962509193,3620.285088992314,6243.544350941234,1,67.54532953350643,0,22,6,3.993457965924702,Bright apartment near metro and university,overall positive and responsive host,legit_normal,0,1.0598207035794194,2.093743913796524,0.7586206896551724,0.0,0
Thailand,Samut Prakan,Apartment,2,705.0,111.89593440549136,864.9015077694498,1687.814370908891,1,83.38369702095554,0,13,2,5.0,Recently updated apartment with washing machine and wifi,overall positive and responsive host,legit_normal,0,1.0574713375951987,2.3906719134686845,0.8125,0.0,0
